Datum;Erster;Hoch;Tief;Schlusskurs;Stuecke;Volumen
2021-07-09;1.526,52;1.528,21;1.523,15;1.527,37;0;0
2021-07-08;1.526,86;1.541,22;1.525,17;1.526,86;0;0
2021-07-07;1.529,46;1.534,53;1.529,46;1.530,3;0;0
2021-07-06;1.531,09;1.539,53;1.520,95;1.523,48;0;0
2021-07-05;1.513,15;1.517,36;1.513,15;1.516,52;0;0
2021-07-02;1.510,19;1.524,57;1.510,19;1.522,03;0;0
2021-07-01;1.502,44;1.505,81;1.497,39;1.497,39;0;0
2021-06-30;1.485,61;1.499,92;1.483,09;1.499,92;0;0
2021-06-29;1.502,78;1.502,78;1.481,75;1.491,84;0;0
2021-06-28;1.505,04;1.505,04;1.497,48;1.501,68;0;0
2021-06-25;1.495,82;1.504,18;1.494,14;1.495,82;0;0
2021-06-24;1.495,06;1.503,44;1.495,06;1.500,08;0;0
2021-06-23;1.495,69;1.507,4;1.495,69;1.499,04;0;0
2021-06-22;1.505,38;1.508,74;1.499,5;1.502,86;0;0
2021-06-21;1.493,15;1.509,13;1.493,15;1.507,44;0;0
2021-06-18;1.507,4;1.514,12;1.498,99;1.498,99;0;0
2021-06-17;1.530,95;1.530,95;1.493,26;1.496,61;0;0
2021-06-16;1.541,98;1.541,98;1.524,66;1.524,66;0;0
2021-06-15;1.548,15;1.548,15;1.540,72;1.540,72;0;0
2021-06-14;1.546,81;1.548,46;1.534,43;1.545,99;0;0
2021-06-11;1.574,02;1.574,85;1.555,05;1.556,7;0;0
2021-06-10;1.554,54;1.562,76;1.545,51;1.562,76;0;0
2021-06-09;1.560,07;1.563,35;1.555,97;1.557,61;0;0
2021-06-08;1.564,19;1.565,84;1.559,27;1.560,91;0;0
2021-06-07;1.558,54;1.565,12;1.555,25;1.565,12;0;0
2021-06-04;1.547,83;1.570,11;1.547,83;1.569,28;0;0
2021-06-03;1.566,83;1.566,83;1.541,4;1.544,68;0;0
2021-06-02;1.566,96;1.571,07;1.562,04;1.571,07;0;0
2021-06-01;1.570,14;1.571,78;1.560,33;1.562,78;0;0
2021-05-31;1.568,31;1.569,13;1.565,86;1.568,31;0;0
2021-05-28;1.565,23;1.574,29;1.561,11;1.574,29;0;0
2021-05-27;1.565,42;1.565,42;1.557,22;1.561,32;0;0
2021-05-26;1.566,36;1.569,63;1.555,73;1.555,73;0;0
2021-05-25;1.534,98;1.554,55;1.534,98;1.554,55;0;0
2021-05-21;1.546,19;1.556,04;1.543,73;1.551,12;0;0
2021-05-20;1.542,65;1.548,39;1.536,92;1.548,39;0;0
2021-05-19;1.537,42;1.552,16;1.524,32;1.550,52;0;0
2021-05-18;1.536,98;1.540,26;1.534,53;1.535,35;0;0
